,word,freq
552,clouds,16
4199,following,16
1475,chairs,16
2155,severe,16
1096,spent,16
1099,tongue,16
360,faithful,16
1391,painful,16
1435,seldom,16
2717,possible,16
1003,approach,16
1113,notion,16
4102,fastened,16
4243,employment,15
3249,wrote,15
2191,peace,15
3257,worst,15
3273,perceived,15
1814,lie,15
1371,missis,15
13873,india,15
1406,them.”,15
2980,arranged,15
2174,drawing,15
3528,murmured,15
1825,required,15
3427,laughed,15
370,comes,15
2169,weak,15
7475,“ah,15
7926,despair,15
1513,contents,15
2908,impression,15
2907,judge,15
1302,conduct,15
4056,glorious,15
7681,shade,15
1556,locked,15
3125,occupied,15
1604,mood,15
3923,middle,15
2211,stir,15
3918,tray,15
3883,tables,15
3870,ordinary,15
4131,considerable,15
4380,“have,15
1298,shame,15
4145,smooth,15
3725,“will,15
6816,yonder,15
1712,equally,15
3720,paper,15
3707,risen,15
2218,hitherto,15
1470,colour,15
4479,acquaintance,15
1358,folded,15
6558,ring,15
595,sofa,15
1214,won’t,15
2520,food,15
2721,roused,15
2427,helped,15
911,reed’s,15
9287,union,15
4566,satisfied,15
4997,"sir,”",15
2433,rang,15
8932,stretched,15
5058,ye,15
4583,companion,15
5331,seized,15
1159,clothes,15
5336,meant,15
17627,donations,15
5362,remained,15
2541,village,15
5781,hill,15
1034,month,15
6988,arch,15
2825,played,15
7051,hundred,15
2444,pursued,15
1065,twice,15
1178,started,15
8021,accompany,15
500,explain,15
2390,daresay,15
2874,safe,15
2342,orphan,15
6929,de,15
8852,master’s,15
5718,noble,15
2696,health,15
1135,endure,15
659,remain,15
2367,shelter,14
797,ice,14
795,firm,14
5771,wealth,14
925,fairy,14
5143,interrupted,14
6686,choice,14
1173,intention,14
5024,patient,14
2308,satin,14
1316,thrust,14
4170,writing,14
15426,literary,14
3188,younger,14
4224,yesterday,14
3727,supper,14
4292,sympathy,14
4335,neighbourhood,14
3898,study,14
2751,her.”,14
5257,land,14
5253,save,14
3256,guard,14
5245,god’s,14
2754,“they,14
1179,aside,14
3889,number,14
834,sea,14
1091,frequently,14
3663,news,14
1736,inward,14
2139,distinctly,14
5060,sake,14
2416,can’t,14
1618,proud,14
3864,gently,14
53,check,14
7172,fairfax’s,14
1574,hollow,14
2255,length,14
4450,keen,14
1022,limbs,14
6040,wholly,14
3998,gloomy,14
3448,movements,14
6544,request,14
3434,pointed,14
3430,calculated,14
2086,careful,14
7928,flame,14
2539,cottage,14
3400,thirty,14
1887,bending,14
1936,rushed,14
2514,grim,14
4087,faces,14
7310,worn,14
2110,twelve,14
1506,furniture,14
6272,nearer,14
5805,otherwise,14
1537,frequent,14
572,twilight,14
2880,departure,14
5407,feeble,14
34,copy,14
3522,allow,14
615,keeping,14
3355,active,14
3080,descended,14
4430,floor,14
5863,dry,14
4441,piece,14
2451,“of,14
3489,dying,14
6892,now?”,14
4057,freely,14
2101,softly,14
1515,drawer,13
6398,repose,13
1105,blow,13
2384,cheerful,13
6950,him.”,13
297,separation,13
5933,danger,13
2032,crossed,13
4868,arrived,13
1691,noon,13
2159,incident,13
876,quickly,13
581,consciousness,13
3017,drive,13
3944,beds,13
4025,teacher,13
516,serve,13
17566,archive,13
7324,vale,13
3934,meal,13
1463,carpet,13
1583,effect,13
15509,rosamond,13
7666,“when,13
10674,bliss,13
1579,gloom,13
1453,hung,13
5053,lord,13
2133,half-an-hour,13
2749,choose,13
1653,fault,13
1562,secure,13
79,produced,13
2729,nose,13
7315,stile,13
6365,plans,13
4795,surely,13
3861,write,13
558,exercise,13
7292,enjoy,13
7329,flow,13
5876,original,13
82,start,13
4059,sole,13
7508,lip,13
5338,progress,13
8679,finger,13
1878,fearful,13
670,pictures,13
9479,independent,13
1269,circumstance,13
2568,details,13
7068,storey,13
3316,direct,13
5701,genial,13
13426,briggs,13
5472,emotion,13
4471,corner,13
5452,prove,13
4644,season,13
2970,quarter,13
3306,“your,13
1326,tied,13
2205,bird,13
794,snow,13
3304,permission,13
3539,fierce,13
2917,principle,13
3507,cause,13
5387,conscience,13
5405,provided,13
426,recognised,13
2910,correct,13
3531,quitted,13
9368,lovely,13
5957,experienced,13
10827,sacrifice,13
840,desolate,13
2242,narrative,13
2624,occasion,13
3,ebook,13
702,intervals,13
2993,property,13
3736,glanced,13
1226,drop,13
5723,shadow,13
17536,trademark,13
3703,sunshine,13
1904,moonlight,13
1120,retired,13
1254,fury,13
3333,outside,13
8494,céline,13
5223,directed,13
6167,tranquil,13
5567,vigorous,13
1949,hurt,12
719,lawn,12
2070,instance,12
3511,mistake,12
6553,glow,12
3408,chin,12
729,history,12
610,group,12
4034,hunger,12
705,leaves,12
6993,merely,12
7298,mile,12
3371,relieved,12
5521,iron,12
4981,forgot,12
2072,lloyd,12
5534,"now,”",12
2511,reflected,12
674,gathering,12
7678,strangers,12
8465,vivacity,12
713,blank,12
5011,mentioned,12
950,apparently,12
15263,scholars,12
4041,itself,12
8233,paid,12
7299,lane,12
5176,matters,12
1834,race,12
3693,welcome,12
3651,sorry,12
3662,i’ve,12
5098,mass,12
3819,dropped,12
2038,faculties,12
3817,prospect,12
1742,nobody,12
5114,cup,12
3808,dusk,12
3692,“i’ll,12
2590,audible,12
3169,teeth,12
2639,fever,12
7572,tones,12
3771,“all,12
4936,absence,12
5187,slip,12
3761,urged,12
2404,puzzled,12
54,laws,12
636,intended,12
3206,“with,12
6389,wants,12
3859,explained,12
1588,bessie’s,12
3263,wound,12
10595,medium,12
2553,wore,12
5363,indian,12
5033,body,12
289,difference,12
1610,rush,12
1804,wicked,12
2058,basin,12
3899,engaged,12
3564,reflection,12
1976,orders,12
1766,careless,12
663,slipped,12
5312,inquiry,12
1623,disturbed,12
2432,pocket,12
3594,page,12
1779,daylight,12
3627,do?”,12
1631,useless,12
1633,one’s,12
2378,divine,12
4557,handkerchief,12
5017,instant,12
2103,rough,12
2320,lively,12
4617,education,12
7901,torn,12
1297,“for,12
1073,moments,12
5904,understood,12
1437,unless,12
9723,louisa,12
2835,occupation,12
1317,stool,12
1449,supported,12
13278,german,12
1047,harsh,12
4500,holding,12
1044,mother’s,12
4157,stately,12
11833,ruin,12
2823,piano,12
3024,admitted,12
4122,direction,12
4367,madame,12
2779,composed,12
10751,bride,12
2288,failed,12
5973,entering,12
7988,edward,12
6858,mademoiselle,12
4645,faults,12
8004,mystery,12
9714,threw,12
4376,do.”,12
4642,deeply,12
3006,lodge,12
1403,humble,12
6223,sounds,12
2808,share,12
2278,mighty,12
4126,approaching,12
2314,sang,12
10828,sorrow,12
1223,desperate,12
4934,arrival,12
2882,interval,12
10640,paragraph,12
2251,beneath,12
951,empty,11
2354,showing,11
5347,crushed,11
295,clearly,11
2559,hated,11
1409,useful,11
2806,enjoyment,11
1914,gleam,11
5128,mission,11
11235,orchard,11
1400,kindly,11
2503,“perhaps,11
6104,post,11
8178,suit,11
3809,ceased,11
3027,spectacle,11
348,son,11
2041,lifting,11
