,word,freq
3027,clothes,13
1159,catch,13
3765,i'll,13
3211,evidence,13
1168,lamps,13
10680,literary,13
4593,2,13
10681,archive,13
1648,step,13
3150,trace,13
629,bowed,13
2647,protect,13
3352,smell,13
3286,suffered,13
4290,food,13
1283,hat,13
625,tight,13
10657,trademark,13
978,fly,13
3601,loving,13
1811,attend,13
2045,affairs,13
362,north,13
3519,entry,13
2815,possibly,13
5057,honour,13
2192,various,13
7165,holy,13
4304,finger,13
2035,agent,13
3876,shore,13
6036,spell,13
2328,dining-room,13
5016,seconds,13
3792,anyhow,13
378,gathered,13
5316,arthur's,13
397,sorts,13
2857,fearful,13
3731,sweetly,13
162,3,13
4993,agreed,13
3446,seized,13
5172,happen,13
2991,whisper,13
4340,play,13
1522,hundred,12
1207,kindly,12
5495,attendants,12
1796,absolutely,12
1900,bow,12
4837,removed,12
3681,nervous,12
1194,appeared,12
1356,instead,12
1609,dim,12
1613,worn,12
1802,energy,12
1969,bound,12
4795,wood,12
3689,unhappy,12
1958,six,12
1614,weather,12
1824,desire,12
9613,hypnotise,12
1471,closer,12
6952,grateful,12
1423,stand,12
1557,command,12
3590,goes,12
4303,moments,12
1587,fully,12
2048,doors,12
5688,waked,12
241,hotel,12
3732,ain't,12
2691,freedom,12
2888,dress,12
667,coach,12
677,understood,12
3098,signs,12
940,throw,12
3268,emotion,12
718,important,12
4552,wheel,12
727,clock,12
2576,self,12
2571,needed,12
10162,skinsky,12
1025,shadows,12
2542,nights,12
2976,passion,12
7407,paragraph,12
8531,party,12
2483,sleeps,12
3050,shot,12
214,west,12
2458,devil,12
3423,struggle,12
8542,rats,12
878,considerable,12
167,m,12
2399,sympathy,12
2198,asylum,12
702,starting,12
3033,hurried,12
2719,changed,12
1173,speed,12
2784,impossible,12
522,figures,12
2134,pardon,12
6626,alive,12
1131,closing,12
3175,laughed,12
2725,wings,12
2773,efforts,12
406,drink,12
3871,wounds,12
1825,chair,11
215,entering,11
3852,selfish,11
4941,reported,11
1983,england,11
3573,typewriter,11
1341,thrown,11
811,fancy,11
806,naturally,11
1574,conscious,11
3408,sprang,11
3857,force,11
4923,crew,11
273,useful,11
4800,worked,11
2441,intent,11
6125,office,11
3426,continued,11
2825,powers,11
896,unknown,11
907,crossing,11
161,shorthand,11
3026,result,11
4661,waves,11
933,scene,11
2398,memories,11
774,mother's,11
1799,sufficient,11
763,measure,11
2646,circumstances,11
4196,son,11
695,crossed,11
1931,gold,11
2604,forms,11
670,details,11
2915,human,11
3879,health,11
1470,disappeared,11
5356,rough,11
4402,science,11
5133,personal,11
1808,grown,11
2877,lovely,11
590,weeks,11
1395,imagination,11
2856,future,11
566,borgo,11
2756,dared,11
4643,flapping,11
312,mountains,11
4787,police,11
1383,sick,11
310,midst,11
1512,moon,11
3683,remembered,11
1864,pallor,11
3377,keys,11
437,rushing,11
2564,wise,11
4544,blessed,11
1764,reached,11
3382,prove,11
1493,startled,11
941,easily,11
3455,lid,11
1657,loud,11
3145,occurred,11
6536,terribly,11
129,august,11
1008,mighty,11
2181,stream,11
2184,thick,11
1647,conclusion,11
2195,houses,11
3115,envelope,11
5071,buried,11
1136,solemn,11
2303,fury,11
5522,resolution,11
1260,tone,11
5070,funeral,11
1046,mountain,11
3080,29,11
3106,piece,11
2257,tied,11
3740,driving,11
1247,cloud,11
3051,fastened,11
1636,solicitor,11
139,seward’s,11
2368,plan,11
4900,kindness,11
3153,17,11
8906,access,11
1603,large,11
1728,heavily,11
1861,broad,10
4855,arrival,10
462,hills,10
4063,o,10
6251,gazette,10
6832,including,10
461,steep,10
2903,deadly,10
5004,stronger,10
2785,position,10
3712,ear,10
3612,parted,10
2901,voluptuous,10
4294,events,10
2905,burning,10
342,notes,10
5796,reality,10
334,bistritz,10
1093,silver,10
1088,masses,10
3524,violent,10
10675,refund,10
2235,manifestly,10
1926,servants,10
2811,hate,10
3645,loves,10
2051,conversation,10
5460,illness,10
1502,circle,10
2149,required,10
5894,blow,10
3319,direction,10
53,laws,10
1466,disturbed,10
536,foot,10
6860,grief,10
3198,shortly,10
1683,welcome,10
4825,owner,10
1215,flew,10
433,hurry,10
3842,physical,10
553,band,10
2748,fashion,10
2842,lights,10
4387,proved,10
7051,interrupted,10
3199,24,10
1216,leaned,10
418,soundly,10
1476,dreaming,10
4241,hurt,10
2859,pocket,10
76,produced,10
8808,track,10
4868,paid,10
6220,dry,10
1893,expression,10
5261,gate,10
2707,mere,10
398,queer,10
386,interesting,10
3323,standing,10
2918,sweetness,10
4977,forgotten,10
5708,wire,10
4251,nine,10
2042,sorry,10
6345,im,10
4633,sails,10
7801,wafer,10
6027,september._--i,10
1573,main,10
2535,precious,10
4075,weight,10
2319,thousand,10
2971,draw,10
5278,bat,10
2326,fortunately,10
1576,courtyard,10
3790,lover,10
2980,positively,10
5954,knock,10
3897,july,10
853,crowd,10
3691,add,10
988,respect,10
4043,fit,10
1749,lately,10
6007,mark,10
4350,cat,10
3413,proceeded,10
831,tongue,10
5043,madman,10
2963,beating,10
1965,opposite,10
2416,king,10
3554,mercy,10
2593,ease,10
2921,cunning,10
2046,willing,10
6314,yer,10
1729,rejoiced,10
2274,uneasy,10
5801,particular,10
2408,especially,10
3072,due,10
2930,advanced,10
221,danube,10
2370,desperate,10
3428,doom,10
2308,dangerous,10
762,regard,10
1316,travel,10
1030,endless,10
5966,hers,10
3021,unconscious,10
3749,serious,10
750,thanked,10
1291,stranger,10
4627,usually,9
